itinerary_id,trip_id,name,version,is_active,generated_by,total_cost,currency,total_duration_minutes,total_carbon_kg,optimizer_weights,status,created_at,updated_at,day_number,activity_title,description,time_slot
itn_ce1b90a3,trp_dba33c33,Lucknow plan v1,1,1,optimizer,10000.00,INR,900,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-28T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Lucknow Sunrise Ridge Hike & Panoramic Viewpoint,In Lucknow: Venture along scenic hillside trails offering uninhibited dawn views of the surrounding valleys.,morning
itn_16c7eede,trp_c183d169,Singapore plan v1,1,1,ai_planner,7513.69,INR,405,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-30T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Singapore River Expedition & Nature Wilderness Trek,"In Singapore: Active outdoor excursion exploring gorges, hidden waterfalls, and indigenous wildlife habitats.",afternoon
itn_002365e6,trp_5c81e163,Bhuj plan v1,1,1,optimizer,26600.00,INR,1095,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-25T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Bhuj Bustling Night Bazaar & Budget Food Street,In Bhuj: Enjoy mouthwatering local street snacks and soak in vibrant local street energy.,evening
itn_f23cf6a9,trp_13423f49,Rishikesh plan v1,1,1,agent,39150.00,LKR,915,11.3,,active,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Rishikesh Historic Citadel & Royal Palace Morning Tour,"In Rishikesh: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_47767831,trp_d0565c09,Bangkok plan v1,1,1,ai_planner,13552.50,INR,1185,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-24T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Bangkok Old Town Heritage Bazaar & Artisan Lane,"In Bangkok: Wander vibrant alleys filled with master craftsmen, traditional weaving, and regional metalware.",afternoon
itn_3344f97a,trp_929cc01b,Male plan v1,1,0,agent,5943.50,INR,960,6.5,,active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Male Exclusive Sunset Cruise & Chef's Degustation,In Male: Private boat charter with champagne sunset toasts and an artisanal seven-course meal.,evening
itn_0a33c60f,trp_929cc01b,Male plan v2,2,0,optimizer,5545.75,INR,960,6.5,,active,2026-05-06T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Male Private Chauffeur Landmark & Palace Tour,In Male: VIP skip-the-line access to private palace wings and exclusive curatorial collections.,morning
itn_bf68ccd3,trp_929cc01b,Male plan v3,3,1,ai_planner,5166.50,INR,555,5.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-16T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Male Fine Dining Luncheon & Vintage High Tea,In Male: Sample gourmet fusion gastronomy followed by an opulent afternoon tea service.,afternoon
itn_8c4a5046,trp_5843b90d,Udaipur plan v1,1,1,ai_planner,27050.00,INR,1230,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Fateh Sagar Lake Promenade & Street Food,"Sample fresh cold coffee, kulhad chai, and spicy pav bhaji along the lakeside drive.",evening
itn_5a754929,trp_3901f712,Chennai plan v1,1,1,ai_planner,9050.00,INR,1050,10.8,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-30T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Chennai Botanical Gardens & Heritage Tea Stroll,In Chennai: Gentle morning stroll under ancient canopy trees enjoying freshly brewed estate single-origin teas.,morning
itn_00690415,trp_e842e287,Alleppey plan v1,1,0,agent,15900.00,INR,1185,11.3,,active,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Alleppey Artisan Pottery Workshop & Museum Visit,In Alleppey: Observe heritage clay craftsmanship and unhurriedly tour curated regional art collections.,afternoon
itn_5b11b149,trp_e842e287,Alleppey plan v2,2,0,optimizer,15250.00,INR,960,11.3,,active,2026-06-29T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Alleppey Lakeside Promenade Sunset & Classical Sitar,"In Alleppey: Unwind as dusk falls with soft breeze, shimmering reflections, and ambient acoustic music.",evening
itn_331d93e8,trp_e842e287,Alleppey plan v3,3,1,user,13550.00,INR,1275,12.5,,active,2026-06-10T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Alleppey Botanical Gardens & Heritage Tea Stroll,In Alleppey: Gentle morning stroll under ancient canopy trees enjoying freshly brewed estate single-origin teas.,morning
itn_0d6e3b50,trp_ebd8ca83,Mysuru plan v1,1,1,ai_planner,10250.00,INR,435,7.7,,active,2026-06-08T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Mysuru River Expedition & Nature Wilderness Trek,"In Mysuru: Active outdoor excursion exploring gorges, hidden waterfalls, and indigenous wildlife habitats.",afternoon
