landmark_id,city_id,name,kind,lat,lng,description
lmk_0001,cty_c07454f1,Hawa Mahal (Palace of Winds),heritage,26.9239,75.8267,Iconic pink sandstone palace with 953 honeycombed windows.
lmk_0002,cty_c07454f1,City Palace Jaipur,heritage,26.9258,75.8237,"Magnificent royal residence combining Mughal, Rajput and European architecture."
lmk_0003,cty_c07454f1,Albert Hall Central Museum,museum,26.9116,75.8195,"State museum housing exquisite historical artifacts, carpets and miniature art."
lmk_0004,cty_c07454f1,Jaipur Junction Railway Station,transit_hub,26.92,75.7878,Main western railway terminus connecting major Indian express lines.
lmk_0005,cty_c07454f1,Chandpole Metro Station,transit_hub,26.9248,75.8085,Rapid underground transit hub serving the Old Walled City.
lmk_0006,cty_c07454f1,Bapu Bazaar Cultural Market,bazaar,26.9197,75.8236,Traditional bazaar famous for camel leather Mojaris and Jaipuri block prints.
lmk_0007,cty_c07454f1,Jantar Mantar Astronomical Observatory,heritage,26.9247,75.8245,UNESCO World Heritage 18th-century architectural astronomical instruments.
lmk_0008,cty_c07454f1,Sindhi Camp Central Bus Terminal,transit_hub,26.9221,75.7989,Primary inter-state and express transportation station in Jaipur.
lmk_0009,cty_5d572c8a,City Palace Complex,heritage,24.5764,73.6835,Rajasthan's largest palace complex overlooking Lake Pichola.
lmk_0010,cty_5d572c8a,Lake Pichola Waterfront Promenade,attraction,24.5753,73.6766,Serene lakeside walkway with views of Lake Palace and Jag Mandir.
lmk_0011,cty_5d572c8a,Jagdish Temple,religious,24.5794,73.6841,"Grand Indo-Aryan temple dedicated to Lord Vishnu, built in 1651."
lmk_0012,cty_5d572c8a,Bagore Ki Haveli Cultural Museum,museum,24.5799,73.6809,Historic mansion hosting nightly Dharohar folk dance and puppet shows.
lmk_0013,cty_5d572c8a,Saheliyon Ki Bari Royal Gardens,park,24.6033,73.6874,"Courtyard of maidens featuring lotus pools, marble pavilions and fountains."
lmk_0014,cty_5d572c8a,Udaipur City Railway Station,transit_hub,24.5707,73.6987,Main railway terminal connecting Mewar region with national express routes.
lmk_0015,cty_5d572c8a,Fateh Sagar Lake Promenade,viewpoint,24.6025,73.6738,Scenic waterside promenade popular for morning strolls and boating.
lmk_0016,cty_076e8e86,Mehrangarh Fort Citadel,heritage,26.2978,73.0185,One of India's largest forts towering 410 feet above the Blue City.
lmk_0017,cty_076e8e86,Jaswant Thada Royal Cenotaph,heritage,26.3025,73.0244,Intricately carved white marble memorial overlooking Mehrangarh.
lmk_0018,cty_076e8e86,Umaid Bhawan Palace,heritage,26.2808,73.0475,Spectacular golden-yellow sandstone royal palace and museum.
lmk_0019,cty_076e8e86,Ghanta Ghar (Clock Tower Market),bazaar,26.2954,73.0252,"Historic clock tower surrounded by bustling spice, tea and handicraft stalls."
lmk_0020,cty_076e8e86,Jodhpur Junction Railway Station,transit_hub,26.2858,73.0203,Major transport node serving western Rajasthan.
lmk_0021,cty_10cbee86,Jaisalmer Central Railway Station,transit_hub,26.920607,70.914046,Main intercity transit and rail junction serving Jaisalmer.
lmk_0022,cty_10cbee86,Jaisalmer Old Town Heritage Market,bazaar,26.911704,70.912619,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0023,cty_10cbee86,Jaisalmer Botanical Garden & Civic Park,park,26.909161,70.901209,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0024,cty_10cbee86,Jaisalmer Central Bus & Metro Terminus,transit_hub,26.923151,70.899781,High-frequency transport exchange connecting the district.
lmk_0025,cty_10cbee86,Jaisalmer Riverfront / Lake Promenade,attraction,26.915519,70.92246,Picturesque waterside promenade with panoramic city vistas.
lmk_0026,cty_b43cdd57,Taj Mahal Monument of Love,heritage,27.1751,78.0421,UNESCO World Wonder ivory-white marble mausoleum on the Yamuna riverbank.
lmk_0027,cty_b43cdd57,Agra Fort Historical Citadel,heritage,27.1795,78.0211,Vast red sandstone fortress that served as the imperial seat of Mughal rulers.
lmk_0028,cty_b43cdd57,Mehtab Bagh Moonlight Garden,park,27.18,78.0422,Charbagh complex perfectly aligned with the Taj Mahal across the river.
lmk_0029,cty_b43cdd57,Agra Cantt Railway Terminus,transit_hub,27.1583,78.01,High-speed Gatimaan and Vande Bharat express hub.
